26-JUL-1941,Sikorsky Y1OA-8 (S-43),37-372,USAAF,,near Punta Chame,, ,A1
30-JUL-1941,Macchi C.100,I-PACE,Ala Littoria,5,Roma-Lido di...,, ,A1
31-JUL-1941,Short Sunderland I,L2166,RAF,8,near Libyan coast...,, ,C1
??-JUL-1941,Douglas DC-2-115F,n/a,Soviet AF,0,Riga-Spilve ...,, ,C1
02-AUG-1941,Douglas DC-2-120,NC14279,US Treasury,3,Bathurst,, ,A1
04-AUG-1941,Lockheed 14-WF62 Super Electra,G-AFGP,BOAC,,Khartoum,, ,A1
06-AUG-1941,Consolidated PBY-2 Catalina,0496,US Navy,,Pensacola Ba...,, ,A1
15-AUG-1941,Ford 5-AT-B Tri-Motor,642,Colombian AF,1,Palanquero A...,, ,A1
18-AUG-1941,Lockheed 18 Lodestar,PP-PBD,Panair do Brasil,8,"near São Paulo, SP",, ,A1
27-AUG-1941,Ford 5-AT-C Tri-Motor,644,Colombian AF,16,near Tarapaca,, ,A1
28-AUG-1941,Consolidated PBY-5 Catalina,2338,US Navy,,,, ,A1
01-SEP-1941,Bloch 220,F-AQNL,Air France,15,near Marseille-Ma...,, ,A1
07-SEP-1941,Douglas DC-2-120,HK867,RAF,,Freetown-Has...,, ,A1
22-SEP-1941,Consolidated Catalina I,AH565,RAF,0,"near Akranes, Tei...",, ,O1
25-SEP-1941,Consolidated PBY-5 Catalina,2402,US Navy,4,between St. ...,, ,A1
26-SEP-1941,Ford 5-AT-C Tri-Motor,CB-CAM-2,CAMB,5,Challhuani R...,, ,A1
27-SEP-1941,Fokker F.VIII,FE-1,Finnish AF,,near Latva,, ,A1
03-OCT-1941,Sikorsky S-42B,NC15376,Pan Am,2,San Juan harbor,, ,A1
08-OCT-1941,Junkers Ju-52/3m,HE+DK,German AF,0,"Homlafossen,...",, ,A1
20-OCT-1941,Junkers Ju-52/3m,D-AUXZ,Deutsche Lufthansa,13,"Gabrene, Pet...",, ,A1
23-OCT-1941,Douglas DC-2-112,DG471,RAF,0,Karachi-Drig...,, ,A1
23-OCT-1941,Consolidated PBY-5 Catalina,2346,US Navy,,Argentia NAS...,, ,A1
23-OCT-1941,Ford 5-AT-C Tri-Motor,VH-UTB,Guinea Airways,0,Little Wau C...,, ,A1
30-OCT-1941,Douglas DC-3A-269,NC21712,Northwest Airlines,14,"Moorhead, MN",,,A1
30-OCT-1941,Douglas DC-3-277B,NC25663,American Airlines,20,"St. Thomas, ON",, ,A1
02-NOV-1941,Junkers Ju-52/3m,DR+WH,German AF,1,"Risvik, Sals...",, ,A1
07-NOV-1941,Junkers Ju-52/3mce,OH-LAK,Aero OY,2,near Turku [Gulf ...,, ,A1
08-NOV-1941,Consolidated PBY-5 Catalina,2325,US Navy,8,Halifax harb...,, ,A1
14-NOV-1941,Lockheed 14-H2 Super Electra,CR-AAX,DETA,,Inhambane Ai...,, ,A1
15-NOV-1941,Ford 4-AT-B Tri-Motor,NC6894,Private,0,near Wichita Fall...,, ,A1
26-NOV-1941,de Havilland DH.86A Express,AX760,RAF,0,Lydda,, ,A1
??-NOV-1941,Junkers Ju-52/3m,1Z+OK,German AF,,near Tendrovskaya...,, ,C1
03-DEC-1941,Short Sunderland ,W3988,RAF,9,near Carrowmore n...,, ,A1
06-DEC-1941,Consolidated PBY-5 Catalina,Y-44,Dutch Navy,5,Tandjong Pandan,, ,A1
07-DEC-1941,Consolidated PBY-5 Catalina,2357,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2421,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2369,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2364,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2423,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2431,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2435,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2436,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2444,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2437,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2434,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2429,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2420,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2362,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2430,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2425,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2359,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2361,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2365,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2422,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2441,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2439,US Navy,,Ford Island ...,, ,C1
07-DEC-1941,Consolidated PBY-5 Catalina,2440,US Navy,,Ford Island ...,, ,C1
08-DEC-1941,Curtiss AT-32A Condor II, ,CNAC,0,Hong Kong-Ka...,, ,C1
08-DEC-1941,Douglas DC-2-118B,24,CNAC,0,Hong Kong-Ka...,, ,C1
08-DEC-1941,de Havilland DH.86B Express,A31-8,RAAF,0,Western desert,,,C1
08-DEC-1941,Sikorsky S-42B,NC16735,Pan Am,0,Hong Kong-Ka...,, ,C1
08-DEC-1941,Douglas DC-2-120,DG475,RAF,1,near LG-138,, ,C1
08-DEC-1941,Curtiss AT-32A Condor II, ,CNAC,0,Hong Kong-Ka...,, ,C1
08-DEC-1941,Junkers Ju-52/3m,XXII,Eurasia,0,Hong Kong-Ka...,, ,A1
08-DEC-1941,Douglas DC-2-118B,26,CNAC,0,Hong Kong-Ka...,, ,C1
08-DEC-1941,Consolidated PBY-5 Catalina,A24-15,RAAF,8,near Port Moresby,, ,A1
08-DEC-1941,Curtiss AT-32D Condor II, ,CNAC,0,Hong Kong-Ka...,, ,C1
08-DEC-1941,Curtiss AT-32D Condor II, ,CNAC,0,Hong Kong-Ka...,, ,C1
08-DEC-1941,Junkers Ju-52/3m,XT-AGE,Eurasia,0,Hong Kong-Ka...,, ,A1
11-DEC-1941,Junkers Ju-52/3m,XT-ABE,Eurasia,0,Kweilin (Gui...,, ,C1
18-DEC-1941,Lockheed 14-H Super Electra,CCCP-L3453,Aeroflot / Moscow,2,near Moskva-Khody...,, ,A1
21-DEC-1941,Shorts Sunderland II,W3998,RAF,11,Mount Batten...,, ,A1
22-DEC-1941,Lockheed 18 Lodestar,G-AGCZ,BOAC,,near Tobruk (Tubruq),, ,A1
23-DEC-1941,Douglas C-33 (DC-2),36-79,USAAF,0,"Winterset, IA",, ,A1
29-DEC-1941,Douglas DC-3-194B,PK-ALN,KNILM,0,Medan-Poloni...,, ,C1
29-DEC-1941,Short S.23 Empire Flying Boat,G-ADUX,BOAC,4,Sabang,, ,A1
??-DEC-1941,Douglas DC-2-115G,PK-AFJ,KNILM,0,"Darmo, Surabaya",, ,A1
09-JAN-1942,Consolidated PBY-5 Catalina,2368,US Navy,,Galapagos Is...,, ,A1
10-JAN-1942,Consolidated PBY-5 Catalina,Y-58,Dutch Navy,6,near Kema,, ,A1
11-JAN-1942,Consolidated PBY-5 Catalina,2452,US Navy,3,Pearl Harbor...,, ,A1
15-JAN-1942,Consolidated PBY-5 Catalina,2326,US Navy,,,, ,A1
15-JAN-1942,Consolidated PBY-5 Catalina,2331,US Navy,,,, ,A1
15-JAN-1942,Consolidated PBY-5 Catalina,2337,US Navy,,,, ,A1
15-JAN-1942,Consolidated PBY-5 Catalina,A24-11,RAAF,9,Kavieng Harbour,, ,A1
15-JAN-1942,Short Sunderland I,L2163,RAF,0,"Stranraer, K...",, ,O1
16-JAN-1942,Douglas DC-3-382,NC1946,TWA,22,"near Las Vegas, NV",, ,A1
